SMILES,IC50
CCN1CCN(C[C@@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.07
OC(=O)CNC(=O)c1c(O)c2CSCc2n(-c2ccc(cc2)-c2cccc(OC(F)(F)F)c2)c1=O,4.1
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(cc21)C#N)c1ccc(cc1)-c1ccccc1,4.1
OC(=O)CNC(=O)c1c(O)c2CSCc2n(-c2ccc(cc2)-c2cccc(OC(F)(F)F)c2)c1=O,4.1
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1ccc(=O)[nH]n1,4.1
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2nc3ccccc3o2)c1=O,4.2
OC(=O)CNC(=O)c1c(O)c2cccc3OCC(c4cncs4)n(c23)c1=O,4.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1cc(O)ccn1,4.3
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1cccc(=O)[nH]1,4.3
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2nc(cs2)C(F)(F)F)c1=O,4.3
CC(C)N1CCN(C[C@H]1C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.37
COCCC1(CCCC1)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1)C#N,4.37
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2cc(F)c(F)cc2F)c1=O,4.4
CN(C)C1CN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,4.47
CN(C)[C@H]1CCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.47
CCN1CCN([C@H](C)C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.57
COCCCN(C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.68
Cc1c(F)c(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCCN(CC1)C1CC1)C#N,4.68
CN1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,4.68
CN(C1CC1)[C@@H]1CCCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.68
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)C(=O)N(C)C,4.7
OC(=O)CNC(=O)c1c(O)c2ccc(Cl)cc2n(Cc2ccc(cc2)C(F)(F)F)c1=O,4.8
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(cc2)C(F)(F)F)c1=O,4.9
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1coc(c1)C(O)=O,4.9
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2cnc(cn2)C(F)(F)F)c1=O,4.9
CN(C)[C@@H]1CCN(C1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.9
COC1CCN(CC1)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(C#N)c(F)c1C,4.9
Cc1cc(ccc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCC(CC1)N1CCOCC1)C#N,4.9
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)C1CCCCC1)c1cc(=O)[nH]cn1,5
C[C@H](NC(=O)c1cnc(nc1O)-n1cccn1)c1ccccc1,5
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccccc1C(O)=O,5
Cc1cccnc1CN1CCC2(CCN(C2=O)c2ccc(cc2)-c2ccc(cc2)C(O)=O)CC1,5
